!
! This is a small development reaction network from UCLCHEM; it includes a minimal amount of species on the ices + UMIST 22 reactions.
! This reaction network has NOT been verified for anything scientific, so it comes with NO warranty on the correctness of the reaction network.
! Produced using UCLCHEM v3.5.1 on 30-07-2025 by Gijs Vermariën
! Notation of species (molecules) in UCLCHEM: @ is bulk of the ice (not so reactive), # is the surface of the ice (reactive) and no prefix is gas phase.
! Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Product 4,Alpha,Beta,Gamma,T_min,T_max,reduced_mass,extrapolate
#H3,THERM,NAN,H3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H3O,THERM,NAN,H3O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#HCO,THERM,NAN,HCO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#HE,THERM,NAN,HE,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#MG,THERM,NAN,MG,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#O,THERM,NAN,O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#O2,THERM,NAN,O2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#OH,THERM,NAN,OH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@C,THERM,NAN,C,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@CH,THERM,NAN,CH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@CH2,THERM,NAN,CH2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@CH3,THERM,NAN,CH3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@CH4,THERM,NAN,CH4,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@CH5,THERM,NAN,CH5,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@CO,THERM,NAN,CO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@H,THERM,NAN,H,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@H2,THERM,NAN,H2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@H2O,THERM,NAN,H2O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@H3,THERM,NAN,H3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@H3O,THERM,NAN,H3O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@HCO,THERM,NAN,HCO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@HE,THERM,NAN,HE,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@MG,THERM,NAN,MG,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@O,THERM,NAN,O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@O2,THERM,NAN,O2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
@OH,THERM,NAN,OH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
C,CO+,NAN,CO,C+,NAN,NAN,1.1e-10,0.0,0.0,10.0,41000.0,0.0,False
C,O2+,NAN,O2,C+,NAN,NAN,5.2e-11,0.0,0.0,10.0,41000.0,0.0,False
C,CH5+,NAN,CH4,CH+,NAN,NAN,1.2e-09,0.0,0.0,10.0,41000.0,0.0,False
C,H2O+,NAN,OH,CH+,NAN,NAN,1.1e-09,0.0,0.0,10.0,41000.0,0.0,False
C,H3O+,NAN,HCO+,H2,NAN,NAN,1e-11,0.0,0.0,10.0,41000.0,0.0,False
C,O2+,NAN,CO+,O,NAN,NAN,5.2e-11,0.0,0.0,10.0,41000.0,0.0,False
C,OH+,NAN,O,CH+,NAN,NAN,1.2e-09,0.0,0.0,10.0,41000.0,0.0,False
C,CH2,NAN,CH,CH,NAN,NAN,2.69e-12,0.0,23550.0,1000.0,4000.0,0.0,False
C,HCO,NAN,CO,CH,NAN,NAN,1e-10,0.0,0.0,10.0,300.0,0.0,False
C,O2,NAN,CO,O,NAN,NAN,5.56e-11,0.41,-26.9,10.0,8000.0,0.0,False
C,OH,NAN,CO,H,NAN,NAN,1e-10,0.0,0.0,10.0,300.0,0.0,False
C,OH,NAN,O,CH,NAN,NAN,2.25e-11,0.5,14800.0,493.0,41000.0,0.0,False
C,O+,NAN,CO+,PHOTON,NAN,NAN,5e-10,-3.7,800.0,2000.0,10000.0,0.0,False
C,O,NAN,CO,PHOTON,NAN,NAN,4.69e-19,1.52,-50.5,10.0,14700.0,0.0,False
C+,CH2,NAN,CH2+,C,NAN,NAN,5.2e-10,0.0,0.0,10.0,41000.0,0.0,False
C+,CH,NAN,CH+,C,NAN,NAN,3.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
C+,HCO,NAN,HCO+,C,NAN,NAN,4.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
C+,MG,NAN,MG+,C,NAN,NAN,1.1e-09,0.0,0.0,10.0,41000.0,0.0,False
C+,H2O,NAN,HCO+,H,NAN,NAN,9e-10,-0.5,0.0,10.0,41000.0,0.0,False
C+,HCO,NAN,CO,CH+,NAN,NAN,4.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
C+,O2,NAN,CO+,O,NAN,NAN,3.42e-10,0.0,0.0,10.0,41000.0,0.0,False
C+,O2,NAN,CO,O+,NAN,NAN,4.54e-10,0.0,0.0,10.0,41000.0,0.0,False
C+,OH,NAN,CO+,H,NAN,NAN,7.7e-10,-0.5,0.0,10.0,41000.0,0.0,False
C+,O,NAN,CO+,PHOTON,NAN,NAN,3.14e-18,-0.15,68.0,10.0,13900.0,0.0,False
C+,E-,NAN,C,PHOTON,NAN,NAN,2.36e-12,-0.29,-17.6,10.0,41000.0,0.0,False
CH,O,NAN,HCO+,E-,NAN,NAN,1.09e-11,-2.19,165.1,10.0,2500.0,0.0,False
CH,CO+,NAN,CO,CH+,NAN,NAN,3.2e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,H2O+,NAN,H2O,CH+,NAN,NAN,3.4e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,O+,NAN,O,CH+,NAN,NAN,3.5e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,O2+,NAN,O2,CH+,NAN,NAN,3.1e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,OH+,NAN,OH,CH+,NAN,NAN,3.5e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,CH5+,NAN,CH4,CH2+,NAN,NAN,6.9e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,CO+,NAN,HCO+,C,NAN,NAN,3.2e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,H2O+,NAN,OH,CH2+,NAN,NAN,3.4e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,H3O+,NAN,H2O,CH2+,NAN,NAN,6.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,HCO+,NAN,CO,CH2+,NAN,NAN,6.3e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,O+,NAN,CO+,H,NAN,NAN,3.5e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,O2+,NAN,HCO+,O,NAN,NAN,3.1e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,OH+,NAN,O,CH2+,NAN,NAN,3.5e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH,HCO,NAN,CO,CH2,NAN,NAN,2.87e-12,0.7,500.0,16.0,300.0,0.0,False
CH,O2,NAN,CO,O,H,NAN,1.14e-11,-0.48,0.0,10.0,300.0,0.0,False
CH,O2,NAN,CO,OH,NAN,NAN,7.6e-12,-0.48,0.0,10.0,300.0,0.0,False
CH,O2,NAN,HCO,O,NAN,NAN,7.6e-12,-0.48,0.0,10.0,300.0,0.0,False
CH,O,NAN,CO,H,NAN,NAN,6.02e-11,0.1,-4.5,10.0,2000.0,0.0,False
CH,O,NAN,OH,C,NAN,NAN,2.52e-11,0.0,2381.0,10.0,6000.0,0.0,False
CH,OH,NAN,HCO,H,NAN,NAN,1.44e-11,0.5,5000.0,166.0,300.0,0.0,False
CH+,HCO,NAN,HCO+,CH,NAN,NAN,4.6e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH+,MG,NAN,MG+,CH,NAN,NAN,3.6e-10,0.0,0.0,10.0,41000.0,0.0,False
CH+,E-,NAN,C,H,NAN,NAN,1.5e-07,-0.42,0.0,10.0,300.0,0.0,False
CH+,H2O,NAN,H3O+,C,NAN,NAN,5.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH+,H2O,NAN,HCO+,H2,NAN,NAN,2.9e-09,-0.5,0.0,10.0,41000.0,0.0,False
CH+,HCO,NAN,CO,CH2+,NAN,NAN,4.6e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH+,O2,NAN,CO+,OH,NAN,NAN,1e-11,0.0,0.0,10.0,41000.0,0.0,False
CH+,O2,NAN,HCO+,O,NAN,NAN,9.7e-10,0.0,0.0,10.0,41000.0,0.0,False
CH+,O2,NAN,HCO,O+,NAN,NAN,1e-11,0.0,0.0,10.0,41000.0,0.0,False
CH+,O,NAN,CO+,H,NAN,NAN,3.5e-10,0.0,0.0,10.0,41000.0,0.0,False
CH+,OH,NAN,CO+,H2,NAN,NAN,7.5e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH2,CO+,NAN,CO,CH2+,NAN,NAN,4.3e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,H2O+,NAN,H2O,CH2+,NAN,NAN,4.7e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,O+,NAN,O,CH2+,NAN,NAN,9.7e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,O2+,NAN,O2,CH2+,NAN,NAN,4.3e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,OH+,NAN,OH,CH2+,NAN,NAN,4.8e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,CH5+,NAN,CH4,CH3+,NAN,NAN,9.6e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,CO+,NAN,HCO+,CH,NAN,NAN,4.3e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,H2O+,NAN,OH,CH3+,NAN,NAN,4.7e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,H3O+,NAN,H2O,CH3+,NAN,NAN,9.4e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,HCO+,NAN,CO,CH3+,NAN,NAN,8.6e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,OH+,NAN,O,CH3+,NAN,NAN,4.8e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2,CH4,NAN,CH3,CH3,NAN,NAN,7.14e-12,0.0,5050.0,296.0,707.0,0.0,False
CH2,HCO,NAN,CO,CH3,NAN,NAN,3e-11,0.0,0.0,10.0,2500.0,0.0,False
CH2,O2,NAN,CO,H2O,NAN,NAN,2.48e-10,-3.3,1443.0,1000.0,1828.0,0.0,False
CH2,O2,NAN,HCO,OH,NAN,NAN,1.84e-11,-3.3,1440.0,1000.0,1800.0,0.0,False
CH2,O,NAN,CO,H2,NAN,NAN,2.04e-10,0.0,270.0,290.0,2500.0,0.0,False
CH2,O,NAN,CO,H,H,NAN,3.4e-10,0.0,270.0,290.0,2500.0,0.0,False
CH2,O,NAN,HCO,H,NAN,NAN,5.01e-11,0.0,0.0,1200.0,1812.0,0.0,False
CH2,OH,NAN,H2O,CH,NAN,NAN,1.44e-11,0.5,3000.0,100.0,300.0,0.0,False
CH2,OH,NAN,O,CH3,NAN,NAN,1.44e-11,0.5,3000.0,100.0,300.0,0.0,False
CH2+,E-,NAN,C,H2,NAN,NAN,7.68e-08,-0.6,0.0,10.0,1000.0,0.0,False
CH2+,E-,NAN,C,H,H,NAN,4.03e-07,-0.6,0.0,10.0,1000.0,0.0,False
CH2+,E-,NAN,CH,H,NAN,NAN,1.6e-07,-0.6,0.0,10.0,1000.0,0.0,False
CH2+,HCO,NAN,CO,CH3+,NAN,NAN,4.5e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH2+,O2,NAN,HCO+,OH,NAN,NAN,9.1e-10,0.0,0.0,10.0,41000.0,0.0,False
CH2+,O,NAN,HCO+,H,NAN,NAN,7.5e-10,0.0,0.0,10.0,41000.0,0.0,False
CH3,CH3,NAN,CH4,CH2,NAN,NAN,7.13e-12,0.0,5052.0,1950.0,2300.0,0.0,False
CH3,H2O,NAN,OH,CH4,NAN,NAN,1.24e-14,2.9,7480.0,300.0,3000.0,0.0,False
CH3,HCO,NAN,CO,CH4,NAN,NAN,2e-10,0.0,0.0,300.0,2500.0,0.0,False
CH3,O,NAN,CO,H2,H,NAN,3.6e-11,0.0,202.0,354.0,925.0,0.0,False
CH3,OH,NAN,CH4,O,NAN,NAN,3.27e-14,2.2,2240.0,298.0,2500.0,0.0,False
CH3,OH,NAN,H2O,CH2,NAN,NAN,1.2e-10,0.0,1400.0,300.0,1000.0,0.0,False
CH3+,HCO,NAN,HCO+,CH3,NAN,NAN,4.4e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH3+,MG,NAN,MG+,CH3,NAN,NAN,3.5e-09,0.0,0.0,10.0,41000.0,0.0,False
CH3+,E-,NAN,CH2,H,NAN,NAN,7.75e-08,-0.5,0.0,10.0,300.0,0.0,False
CH3+,E-,NAN,CH,H2,NAN,NAN,1.95e-07,-0.5,0.0,10.0,300.0,0.0,False
CH3+,E-,NAN,CH,H,H,NAN,2e-07,-0.4,0.0,10.0,1000.0,0.0,False
CH3+,HCO,NAN,CO,CH4+,NAN,NAN,4.4e-10,-0.5,0.0,10.0,41000.0,0.0,False
CH3+,O,NAN,HCO+,H2,NAN,NAN,4e-10,0.0,0.0,10.0,41000.0,0.0,False
CH3+,E-,NAN,CH3,PHOTON,NAN,NAN,1.1e-10,-0.5,0.0,10.0,300.0,0.0,False
CH4,CO+,NAN,CO,CH4+,NAN,NAN,7.93e-10,0.0,0.0,10.0,41000.0,0.0,False
CH4,CO+,NAN,HCO+,CH3,NAN,NAN,4.55e-10,0.0,0.0,10.0,41000.0,0.0,False
CH4,H2O+,NAN,H3O+,CH3,NAN,NAN,1.4e-09,0.0,0.0,10.0,41000.0,0.0,False
CH4,OH+,NAN,CH5+,O,NAN,NAN,1.95e-10,0.0,0.0,10.0,41000.0,0.0,False
CH4,OH+,NAN,H3O+,CH2,NAN,NAN,1.31e-09,0.0,0.0,10.0,41000.0,0.0,False
CH4,OH,NAN,H2O,CH3,NAN,NAN,2.78e-13,2.4,1060.0,178.0,298.0,0.0,False
CH4+,O2,NAN,O2+,CH4,NAN,NAN,3.9e-10,0.0,0.0,10.0,41000.0,0.0,False
CH4+,E-,NAN,CH2,H,H,NAN,1.75e-07,-0.5,0.0,10.0,300.0,0.0,False
CH4+,E-,NAN,CH3,H,NAN,NAN,1.75e-07,-0.5,0.0,10.0,300.0,0.0,False
CH4+,CH4,NAN,CH5+,CH3,NAN,NAN,1.5e-09,0.0,0.0,10.0,41000.0,0.0,False
CH4+,CO,NAN,HCO+,CH3,NAN,NAN,1.4e-09,0.0,0.0,10.0,41000.0,0.0,False
CH4+,H2O,NAN,H3O+,CH3,NAN,NAN,2.6e-09,-0.5,0.0,10.0,41000.0,0.0,False
CH5+,E-,NAN,CH2,H2,H,NAN,4.76e-08,-0.52,0.0,10.0,300.0,0.0,False
CH5+,E-,NAN,CH3,H2,NAN,NAN,1.4e-08,-0.52,0.0,10.0,300.0,0.0,False
CH5+,E-,NAN,CH3,H,H,NAN,1.96e-07,-0.52,0.0,10.0,300.0,0.0,False
CH5+,E-,NAN,CH4,H,NAN,NAN,1.4e-08,-0.52,0.0,10.0,300.0,0.0,False
CH5+,E-,NAN,CH,H2,H2,NAN,8.4e-09,-0.52,0.0,10.0,300.0,0.0,False
CH5+,CO,NAN,HCO+,CH4,NAN,NAN,1e-09,0.0,0.0,10.0,41000.0,0.0,False
CH5+,H2O,NAN,H3O+,CH4,NAN,NAN,3.7e-09,-0.5,0.0,10.0,41000.0,0.0,False
CH5+,MG,NAN,MG+,CH4,H,NAN,1.4e-09,0.0,0.0,10.0,41000.0,0.0,False
CO+,HCO,NAN,HCO+,CO,NAN,NAN,7.4e-10,-0.5,0.0,10.0,41000.0,0.0,False
CO+,O2,NAN,O2+,CO,NAN,NAN,1.2e-10,0.0,0.0,10.0,41000.0,0.0,False
CO+,E-,NAN,O,C,NAN,NAN,2e-07,-0.48,0.0,10.0,41000.0,0.0,False
H,CH,NAN,C,H,H,NAN,6e-09,0.0,40200.0,1340.0,41000.0,0.0,False
H,H2,NAN,H,H,H,NAN,4.67e-07,-1.0,55000.0,1833.0,41000.0,0.0,False
H,H2O,NAN,OH,H,H,NAN,5.8e-09,0.0,52900.0,1763.0,41000.0,0.0,False
H,O2,NAN,O,O,H,NAN,6e-09,0.0,52300.0,1743.0,41000.0,0.0,False
H,OH,NAN,O,H,H,NAN,6e-09,0.0,50900.0,1696.0,41000.0,0.0,False
H,CO+,NAN,CO,H+,NAN,NAN,7.5e-10,0.0,0.0,10.0,41000.0,0.0,False
H,H2+,NAN,H2,H+,NAN,NAN,6.4e-10,0.0,0.0,10.0,41000.0,0.0,False
H,HE+,NAN,HE,H+,NAN,NAN,1.2e-15,0.25,0.0,10.0,41000.0,0.0,False
H,O+,NAN,O,H+,NAN,NAN,5.66e-10,0.36,-8.6,10.0,41000.0,0.0,False
H,CH+,NAN,C+,H2,NAN,NAN,9.06e-10,-0.37,29.1,10.0,1000.0,0.0,False
H,CH2+,NAN,CH+,H2,NAN,NAN,1e-09,0.0,7080.0,236.0,300.0,0.0,False
H,CH3+,NAN,CH2+,H2,NAN,NAN,7e-10,0.0,10560.0,352.0,41000.0,0.0,False
H,CH4+,NAN,CH3+,H2,NAN,NAN,1e-11,0.0,0.0,10.0,41000.0,0.0,False
H,CH5+,NAN,CH4+,H2,NAN,NAN,1.5e-10,0.0,0.0,10.0,41000.0,0.0,False
H,CH2,NAN,CH,H2,NAN,NAN,2.5e-10,0.0,1.67,5.0,1000.0,0.0,False
H,CH2,NAN,CH,H2,NAN,NAN,5.98e-11,0.0,280.5,5.0,1000.0,0.0,False
H,CH3,NAN,CH2,H2,NAN,NAN,1e-10,0.0,7600.0,300.0,2500.0,0.0,False
H,CH4,NAN,CH3,H2,NAN,NAN,5.93e-13,3.0,4040.0,300.0,2500.0,0.0,False
H,CH,NAN,C,H2,NAN,NAN,1.31e-10,0.0,80.0,300.0,2000.0,0.0,False
H,CO,NAN,OH,C,NAN,NAN,1.1e-10,0.5,77700.0,2590.0,41000.0,0.0,False
H,H2O,NAN,OH,H2,NAN,NAN,6.9e-12,1.6,9720.0,300.0,2500.0,0.0,False
H,HCO,NAN,CO,H2,NAN,NAN,1.5e-10,0.0,0.0,200.0,2500.0,0.0,False
H,HCO,NAN,O,CH2,NAN,NAN,6.61e-11,0.0,51598.0,1200.0,1812.0,0.0,False
H,O2,NAN,OH,O,NAN,NAN,1.62e-10,0.0,7470.0,300.0,5000.0,0.0,False
H,OH,NAN,O,H2,NAN,NAN,6.94e-14,2.8,1950.0,300.0,2500.0,0.0,False
H,C+,NAN,CH+,PHOTON,NAN,NAN,1.7e-17,0.0,0.0,10.0,300.0,0.0,False
H,C,NAN,CH,PHOTON,NAN,NAN,1e-17,0.0,0.0,10.0,300.0,0.0,False
H,O,NAN,OH,PHOTON,NAN,NAN,9.9e-19,-0.38,0.0,10.0,300.0,0.0,False
H,OH,NAN,H2O,PHOTON,NAN,NAN,5.26e-18,-5.22,90.0,20.0,300.0,0.0,False
H+,CH2,NAN,CH2+,H,NAN,NAN,1.4e-09,0.0,0.0,10.0,41000.0,0.0,False
H+,CH3,NAN,CH3+,H,NAN,NAN,3.4e-09,0.0,0.0,10.0,41000.0,0.0,False
H+,CH4,NAN,CH4+,H,NAN,NAN,1.5e-09,0.0,0.0,10.0,41000.0,0.0,False
H+,CH,NAN,CH+,H,NAN,NAN,1.9e-09,-0.5,0.0,10.0,41000.0,0.0,False
H+,H2O,NAN,H2O+,H,NAN,NAN,6.9e-09,-0.5,0.0,10.0,300.0,0.0,False
H+,HCO,NAN,HCO+,H,NAN,NAN,9.4e-10,-0.5,0.0,10.0,41000.0,0.0,False
H+,MG,NAN,MG+,H,NAN,NAN,1.1e-09,0.0,0.0,10.0,41000.0,0.0,False
H+,O2,NAN,O2+,H,NAN,NAN,2e-09,0.0,0.0,10.0,300.0,0.0,False
H+,O,NAN,O+,H,NAN,NAN,6.86e-10,0.26,224.3,10.0,41000.0,0.0,False
H+,OH,NAN,OH+,H,NAN,NAN,2.1e-09,-0.5,0.0,10.0,41000.0,0.0,False
H+,CH2,NAN,CH+,H2,NAN,NAN,1.4e-09,0.0,0.0,10.0,41000.0,0.0,False
H+,CH4,NAN,CH3+,H2,NAN,NAN,2.3e-09,0.0,0.0,10.0,41000.0,0.0,False
H+,HCO,NAN,CO+,H2,NAN,NAN,9.4e-10,-0.5,0.0,10.0,41000.0,0.0,False
H+,HCO,NAN,CO,H2+,NAN,NAN,9.4e-10,-0.5,0.0,10.0,41000.0,0.0,False
H+,H,NAN,H2+,PHOTON,NAN,NAN,1.15e-18,1.49,228.0,200.0,32000.0,0.0,False
H+,E-,NAN,H,PHOTON,NAN,NAN,3.5e-12,-0.75,0.0,10.0,20000.0,0.0,False
H2,CH,NAN,C,H2,H,NAN,6e-09,0.0,40200.0,1340.0,41000.0,0.0,False
H2,H2,NAN,H2,H,H,NAN,1e-08,0.0,84100.0,2803.0,41000.0,0.0,False
H2,H2O,NAN,OH,H2,H,NAN,5.8e-09,0.0,52900.0,1763.0,41000.0,0.0,False
H2,O2,NAN,O,O,H2,NAN,6e-09,0.0,52300.0,1743.0,41000.0,0.0,False
H2,OH,NAN,O,H2,H,NAN,6e-09,0.0,50900.0,1696.0,41000.0,0.0,False
H2,E-,NAN,H,H,E-,NAN,3.22e-09,0.35,102000.0,3400.0,41000.0,0.0,False
H2,HE+,NAN,HE,H2+,NAN,NAN,1e-14,0.0,0.0,10.0,300.0,0.0,False
H2,C+,NAN,CH+,H,NAN,NAN,1e-10,0.0,4640.0,154.0,3000.0,0.0,False
H2,CH+,NAN,CH2+,H,NAN,NAN,1.2e-09,0.0,0.0,10.0,41000.0,0.0,False
H2,CH2+,NAN,CH3+,H,NAN,NAN,1.6e-09,0.0,0.0,10.0,41000.0,0.0,False
H2,CH4+,NAN,CH5+,H,NAN,NAN,4.89e-11,-0.14,-36.1,15.0,41000.0,0.0,False
H2,CO+,NAN,HCO+,H,NAN,NAN,7.5e-10,0.0,0.0,10.0,41000.0,0.0,False
H2,H2O+,NAN,H3O+,H,NAN,NAN,9.7e-10,0.0,0.0,17.0,218.0,0.0,False
H2,HE+,NAN,H+,H,HE,NAN,3e-14,0.0,0.0,10.0,300.0,0.0,False
H2,O+,NAN,OH+,H,NAN,NAN,1.35e-09,0.0,0.0,10.0,41000.0,0.0,False
H2,OH+,NAN,H2O+,H,NAN,NAN,1.27e-09,0.18,0.0,17.0,263.0,0.0,False
H2,C,NAN,CH,H,NAN,NAN,6.64e-10,0.0,11700.0,300.0,2500.0,0.0,False
H2,CH3,NAN,CH4,H,NAN,NAN,6.86e-14,2.74,4740.0,300.0,2500.0,0.0,False
H2,CH,NAN,CH2,H,NAN,NAN,1.5e-11,1.79,840.0,300.0,2500.0,0.0,False
H2,O2,NAN,OH,OH,NAN,NAN,2.82e-11,0.0,24200.0,1200.0,1800.0,0.0,False
H2,O,NAN,OH,H,NAN,NAN,3.14e-13,2.7,3150.0,297.0,3532.0,0.0,False
H2,OH,NAN,H2O,H,NAN,NAN,2.08e-12,1.52,1740.0,250.0,2581.0,0.0,False
H2,C+,NAN,CH2+,PHOTON,NAN,NAN,2e-16,-1.3,23.0,10.0,300.0,0.0,False
H2,C,NAN,CH2,PHOTON,NAN,NAN,1e-17,0.0,0.0,10.0,300.0,0.0,False
H2,CH3+,NAN,CH5+,PHOTON,NAN,NAN,3.92e-16,-2.29,21.3,10.0,300.0,0.0,False
H2,CH,NAN,CH3,PHOTON,NAN,NAN,5.09e-18,-0.71,11.6,10.0,300.0,0.0,False
H2+,CH2,NAN,CH2+,H2,NAN,NAN,1e-09,0.0,0.0,10.0,41000.0,0.0,False
H2+,CH4,NAN,CH4+,H2,NAN,NAN,1.4e-09,0.0,0.0,10.0,41000.0,0.0,False
H2+,CH,NAN,CH+,H2,NAN,NAN,7.1e-10,-0.5,0.0,10.0,41000.0,0.0,False
H2+,CO,NAN,CO+,H2,NAN,NAN,6.44e-10,0.0,0.0,10.0,41000.0,0.0,False
H2+,H2O,NAN,H2O+,H2,NAN,NAN,3.9e-09,-0.5,0.0,10.0,41000.0,0.0,False
H2+,HCO,NAN,HCO+,H2,NAN,NAN,1e-09,-0.5,0.0,10.0,41000.0,0.0,False
H2+,O2,NAN,O2+,H2,NAN,NAN,8e-10,0.0,0.0,10.0,41000.0,0.0,False
H2+,OH,NAN,OH+,H2,NAN,NAN,7.6e-10,-0.5,0.0,10.0,41000.0,0.0,False
H2+,E-,NAN,H,H,NAN,NAN,1.6e-08,-0.43,0.0,10.0,300.0,0.0,False
H2+,C,NAN,CH+,H,NAN,NAN,2.4e-09,0.0,0.0,10.0,41000.0,0.0,False
H2+,CH2,NAN,CH3+,H,NAN,NAN,1e-09,0.0,0.0,10.0,41000.0,0.0,False
H2+,CH4,NAN,CH3+,H2,H,NAN,2.3e-09,0.0,0.0,10.0,41000.0,0.0,False
H2+,CH4,NAN,CH5+,H,NAN,NAN,1.14e-10,0.0,0.0,10.0,41000.0,0.0,False
H2+,CH,NAN,CH2+,H,NAN,NAN,7.1e-10,-0.5,0.0,10.0,41000.0,0.0,False
H2+,CO,NAN,HCO+,H,NAN,NAN,2.16e-09,0.0,0.0,10.0,41000.0,0.0,False
H2+,H2,NAN,H3+,H,NAN,NAN,2.08e-09,0.0,0.0,10.0,41000.0,0.0,False
H2+,H2O,NAN,H3O+,H,NAN,NAN,3.4e-09,-0.5,0.0,10.0,41000.0,0.0,False
H2+,HCO,NAN,CO,H3+,NAN,NAN,1e-09,-0.5,0.0,10.0,41000.0,0.0,False
H2+,O,NAN,OH+,H,NAN,NAN,1.5e-09,0.0,0.0,10.0,41000.0,0.0,False
H2+,OH,NAN,H2O+,H,NAN,NAN,7.6e-10,-0.5,0.0,10.0,41000.0,0.0,False
H2O,CO+,NAN,CO,H2O+,NAN,NAN,1.72e-09,-0.5,0.0,10.0,41000.0,0.0,False
H2O,CO+,NAN,HCO+,OH,NAN,NAN,8.84e-10,-0.5,0.0,10.0,41000.0,0.0,False
H2O,HCO+,NAN,CO,H3O+,NAN,NAN,2.5e-09,-0.5,0.0,10.0,41000.0,0.0,False
H2O+,HCO,NAN,HCO+,H2O,NAN,NAN,2.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
H2O+,MG,NAN,MG+,H2O,NAN,NAN,2.2e-09,0.0,0.0,10.0,41000.0,0.0,False
H2O+,O2,NAN,O2+,H2O,NAN,NAN,4.6e-10,0.0,0.0,10.0,41000.0,0.0,False
H2O+,E-,NAN,O,H2,NAN,NAN,3.9e-08,-0.5,0.0,10.0,1000.0,0.0,False
H2O+,E-,NAN,O,H,H,NAN,3.05e-07,-0.5,0.0,10.0,1000.0,0.0,False
H2O+,E-,NAN,OH,H,NAN,NAN,8.6e-08,-0.5,0.0,10.0,1000.0,0.0,False
